* SLURM BATCH JOB 'test' STARTING *
* Activating environment miniproject *
Running on GPU: True
Training for drop_rate=0.4, learn_mask=False
Epopch: 0, Train Loss: 0.203019830639398, Val Loss: 0.1629605787279813, Train PSNR: 25.498269497045026, Val PSNR: 25.226858636607293 
Epopch: 1, Train Loss: 0.146460246058959, Val Loss: 0.1623517235983973, Train PSNR: 26.761073065297925, Val PSNR: 25.295523767885953 
Epopch: 2, Train Loss: 0.13189253301903073, Val Loss: 0.1412699543263601, Train PSNR: 27.20071579699412, Val PSNR: 25.89211953204611 
Epopch: 3, Train Loss: 0.1255666235219623, Val Loss: 0.1434863977458166, Train PSNR: 27.44960290845162, Val PSNR: 25.793398483939793 
Epopch: 4, Train Loss: 0.12109155748875423, Val Loss: 0.13715177904004636, Train PSNR: 27.59205865366138, Val PSNR: 25.996561299199644 
Epopch: 5, Train Loss: 0.11780658618936056, Val Loss: 0.13633619248867035, Train PSNR: 27.676741267512664, Val PSNR: 26.053816339244012 
Epopch: 6, Train Loss: 0.11536653549919469, Val Loss: 0.1364932504037152, Train PSNR: 27.792443489452225, Val PSNR: 26.00814541526463 
Epopch: 7, Train Loss: 0.11202443691165592, Val Loss: 0.1294364109635353, Train PSNR: 27.885657796651227, Val PSNR: 26.30990812052851 
Epopch: 8, Train Loss: 0.11140903743076105, Val Loss: 0.13031843871526097, Train PSNR: 27.934461718735953, Val PSNR: 26.261756731116254 
Epopch: 9, Train Loss: 0.11025029978145802, Val Loss: 0.13671303427089815, Train PSNR: 27.993956437456593, Val PSNR: 26.063593283943508 
* SLURM BATCH JOB 'test' DONE *
